arm,bench,seed,rule,r,thr,tp,fp,fn,tn,recall,specificity,balanced_accuracy,precision,f1,nec,auc,ap,pauc95,r_test,r_val,T,T_at_bound
ls0.1,4,4,val-cost,200,0.9118637184454088,168,493,9,31397,0.9491525423728814,0.9845406083411727,0.966846575357027,0.25416036308623297,0.4009546539379475,0.03407638579283698,0.9850218707314868,0.7686108874536968,0.723684345729406,180.16949152542372,46.89473684210526,0.4085545238108842,False
ls0.1,4,4,oracle,1,0.9900859594345093,121,23,56,31867,0.6836158192090396,0.9992787707745374,0.8414472949917885,0.8402777777777778,0.7538940809968847,0.0024635918545545263,0.9850218707314868,0.7686108874536968,0.723684345729406,180.16949152542372,46.89473684210526,0.4085545238108842,False
ls0.1,4,4,oracle,2,0.9847955405712128,135,42,42,31848,0.7627118644067796,0.9986829727187206,0.8806974185627501,0.7627118644067796,0.7627118644067796,0.003907703758838854,0.9850218707314868,0.7686108874536968,0.723684345729406,180.16949152542372,46.89473684210526,0.4085545238108842,False
ls0.1,4,4,oracle,5,0.9806590676307678,142,66,35,31824,0.8022598870056498,0.9979303857008467,0.9000951363532482,0.6826923076923077,0.7376623376623377,0.007353165522501907,0.9850218707314868,0.7686108874536968,0.723684345729406,180.16949152542372,46.89473684210526,0.4085545238108842,False
ls0.1,4,4,oracle,10,0.9642283320426941,158,149,19,31741,0.8926553672316384,0.9953276889306992,0.9439915280811688,0.5146579804560261,0.6528925619834711,0.010071301247771836,0.9850218707314868,0.7686108874536968,0.723684345729406,180.16949152542372,46.89473684210526,0.4085545238108842,False
ls0.1,4,4,oracle,20,0.9499480128288269,163,226,14,31664,0.9209039548022598,0.9929131389150204,0.9569085468586401,0.4190231362467866,0.5759717314487632,0.014281682190234265,0.9850218707314868,0.7686108874536968,0.723684345729406,180.16949152542372,46.89473684210526,0.4085545238108842,False
ls0.1,4,4,oracle,50,0.9361642003059387,167,322,10,31568,0.943502824858757,0.9899027908435246,0.9667028078511408,0.34151329243353784,0.5015015015015015,0.020176730486008838,0.9850218707314868,0.7686108874536968,0.723684345729406,180.16949152542372,46.89473684210526,0.4085545238108842,False
ls0.1,4,4,oracle,100,0.9361642003059387,167,322,10,31568,0.943502824858757,0.9899027908435246,0.9667028078511408,0.34151329243353784,0.5015015015015015,0.026658600524299254,0.9850218707314868,0.7686108874536968,0.723684345729406,180.16949152542372,46.89473684210526,0.4085545238108842,False
ls0.1,4,4,oracle,200,0.8949187994003296,170,695,7,31195,0.96045197740113,0.9782063342740671,0.9693291558375985,0.19653179190751446,0.32629558541266795,0.031133898053202557,0.9850218707314868,0.7686108874536968,0.723684345729406,180.16949152542372,46.89473684210526,0.4085545238108842,False
ls0.1,5,0,0.5,1,0.5,41,19327,0,0,1.0,0.0,0.5,0.002116893845518381,0.004224844144469061,0.9978831061544816,0.9828913676936221,0.5221833171872547,0.6820081094689976,471.390243902439,108.8,0.43608353919224896,False
ls0.1,5,0,0.5,2,0.5,41,19327,0,0,1.0,0.0,0.5,0.002116893845518381,0.004224844144469061,0.9957751558555309,0.9828913676936221,0.5221833171872547,0.6820081094689976,471.390243902439,108.8,0.43608353919224896,False
ls0.1,5,0,0.5,5,0.5,41,19327,0,0,1.0,0.0,0.5,0.002116893845518381,0.004224844144469061,0.9895044030309236,0.9828913676936221,0.5221833171872547,0.6820081094689976,471.390243902439,108.8,0.43608353919224896,False
ls0.1,5,0,0.5,10,0.5,41,19327,0,0,1.0,0.0,0.5,0.002116893845518381,0.004224844144469061,0.9792268328520038,0.9828913676936221,0.5221833171872547,0.6820081094689976,471.390243902439,108.8,0.43608353919224896,False
ls0.1,5,0,0.5,20,0.5,41,19327,0,0,1.0,0.0,0.5,0.002116893845518381,0.004224844144469061,0.9592991512383978,0.9828913676936221,0.5221833171872547,0.6820081094689976,471.390243902439,108.8,0.43608353919224896,False
ls0.1,5,0,0.5,50,0.5,41,19327,0,0,1.0,0.0,0.5,0.002116893845518381,0.004224844144469061,0.9041025401132058,0.9828913676936221,0.5221833171872547,0.6820081094689976,471.390243902439,108.8,0.43608353919224896,False
ls0.1,5,0,0.5,100,0.5,41,19327,0,0,1.0,0.0,0.5,0.002116893845518381,0.004224844144469061,0.8249882614077774,0.9828913676936221,0.5221833171872547,0.6820081094689976,471.390243902439,108.8,0.43608353919224896,False
ls0.1,5,0,0.5,200,0.5,41,19327,0,0,1.0,0.0,0.5,0.002116893845518381,0.004224844144469061,0.7021106549932793,0.9828913676936221,0.5221833171872547,0.6820081094689976,471.390243902439,108.8,0.43608353919224896,False
ls0.1,5,0,val-Youden,1,0.9385051620696803,37,96,4,19231,0.9024390243902439,0.9950328555906245,0.9487359399904343,0.2781954887218045,0.42528735632183906,0.005163155720776538,0.9828913676936221,0.5221833171872547,0.6820081094689976,471.390243902439,108.8,0.43608353919224896,False
ls0.1,5,0,val-Youden,2,0.9385051620696803,37,96,4,19231,0.9024390243902439,0.9950328555906245,0.9487359399904343,0.2781954887218045,0.42528735632183906,0.0053583389149363695,0.9828913676936221,0.5221833171872547,0.6820081094689976,471.390243902439,108.8,0.43608353919224896,False
