arm,bench,n,rule,thr_prob,r,tp,tp_std,fp,fp_std,fn,fn_std,tn,tn_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std,recall,recall_std,specificity,specificity_std,f1,f1_std,auc,auc_std,ap,ap_std,false_alarms,false_alarms_std,infer_ms_per_clip,infer_ms_per_clip_std,infer_s,infer_s_std,params,params_std
arm0,b5,5,val-Youden,0.37369166281291333,nan,38.6,1.4966629547095764,61.4,27.789206537790893,2.4,1.4966629547095764,19265.6,27.789206537790893,0.9691432559278249,0.01785457334950277,0.4096737812939784,0.08485282808737914,0.9414634146341463,0.03650397450511161,0.9968230972215035,0.001437843769741316,0.5643012502682667,0.08464873242277138,0.982222267092542,0.002870557441327928,0.7249755161743641,0.04158363500597326,61.4,27.789206537790893,0.11869019735258309,0.0003207654847468415,2.298791742324829,0.006212585908576851,1172897.0,0.0
arm0,avg,5,val-Youden,nan,nan,538.8399999999999,nan,824.1599999999999,nan,11.16,nan,27881.24,nan,0.941932216525937,nan,0.4333286773477266,nan,0.9721766799920364,nan,0.9116877530598378,nan,0.5496352379737226,nan,0.9758051111999524,nan,0.765397336495381,nan,824.1599999999999,nan,0.11671799259349216,nan,3.4448576354980474,nan,1172897.0,nan
arm0,b1,1,val-cost r=N/P,0.5003893115729686,20.70353982300885,225.0,nan,1790.0,nan,1.0,nan,2889.0,nan,0.8065074225450941,nan,0.11166253101736973,nan,0.995575221238938,nan,0.6174396238512503,nan,0.20080321285140562,nan,0.917336829781721,nan,0.36376368695068834,nan,1790.0,nan,0.11162636355401058,nan,0.5475273132324219,nan,1172897.0,nan
arm0,b2,5,val-cost r=N/P,0.5199467569381627,82.92771084337349,492.2,1.6,110.4,160.19937577905853,5.8,1.6,41187.6,160.19937577905853,0.9928400803562937,0.001589815220649638,0.8609898383920604,0.16567942701697666,0.9883534136546185,0.0032128514056224827,0.9973267470579689,0.003879107360624222,0.9103139491703282,0.10857952772914853,0.99728260711012,0.0009377034540180219,0.9792558947743505,0.026924562790110903,110.4,160.19937577905853,0.11717098981572723,0.00251661875936279,4.897278690338135,0.1051845976663271,1172897.0,0.0
arm0,b3,1,val-cost r=N/P,0.3859626318823166,25.6266592920354,1769.0,nan,1486.0,nan,39.0,nan,44847.0,nan,0.9731785151793605,nan,0.5434715821812596,nan,0.978429203539823,nan,0.967927826818898,nan,0.6987951807228916,nan,0.9929971881124504,nan,0.9075976249185147,nan,1486.0,nan,0.11880019771867294,nan,5.719160318374634,nan,1172897.0,nan
arm0,b4,5,val-cost r=N/P,0.21398882020623528,180.16949152542372,169.4,3.0066592756745814,669.8,343.91591995718954,7.6,3.006659275674582,31220.2,343.91591995718954,0.9680293487677452,0.004163868427437541,0.24330107906089457,0.10672270239117965,0.9570621468926553,0.01698677556878294,0.9789965506428349,0.010784444024998098,0.37543179934472093,0.12792565200146852,0.989186663902929,0.005801548022601605,0.8513939596589873,0.044811916785550056,669.8,343.91591995718954,0.11730221452646694,0.0008602013599326348,3.761530113220215,0.027584077008959807,1172897.0,0.0
arm0,b5,5,val-cost r=N/P,0.3971405228729833,471.390243902439,38.4,1.624807680927192,53.8,20.740298937093456,2.6,1.624807680927192,19273.2,20.740298937093456,0.9669008476704521,0.019444683575193637,0.4348812343494304,0.07951844425968474,0.9365853658536585,0.03962945563237052,0.9972163294872459,0.001073125624105837,0.5880095407102607,0.07140542533596432,0.982222267092542,0.002870557441327928,0.7249755161743641,0.04158363500597326,53.8,20.740298937093456,0.11869019735258309,0.0003207654847468415,2.298791742324829,0.006212585908576851,1172897.0,0.0
arm0,avg,5,val-cost r=N/P,nan,nan,538.8,nan,822.0,nan,11.2,nan,27883.4,nan,0.941491242903789,nan,0.4388612530002029,nan,0.9712010702359386,nan,0.9117814155716397,nan,0.5546707365599214,nan,0.9758051111999524,nan,0.765397336495381,nan,822.0,nan,0.11671799259349216,nan,3.4448576354980474,nan,1172897.0,nan
arm0,b1,5,OOF-Youden,0.3031864853234441,nan,226.0,0.0,1802.0,5.513619500836088,0.0,0.0,2877.0,5.513619500836088,0.807437486642445,0.0005891878073131034,0.11144066555068492,0.0003028391245217883,1.0,0.0,0.6148749732848899,0.001178375614626223,0.20053358628868706,0.0004903309921781442,0.9297909885441825,0.024939219393565856,0.4346056425456233,0.06425797334146918,1802.0,5.513619500836088,0.10970035945725125,0.0011353863865626306,0.5380802631378174,0.005569070226089702,1172897.0,0.0
arm0,b4,5,OOF-Youden,0.24972414322671826,nan,170.8,2.5612496949731396,1839.6,1546.7763380657204,6.2,2.5612496949731396,30050.4,1546.7763380657204,0.9536429782461958,0.01775874401347651,0.18623714680268716,0.15216359192829393,0.9649717514124294,0.014470337259735275,0.9423142050799624,0.048503491315952316,0.28472914453236503,0.20168036217863394,0.9901647789984285,0.0018807415828534858,0.7666729240213147,0.10003352988923433,1839.6,1546.7763380657204,0.11954148595562915,0.0009731338514878908,3.83333683013916,0.03120548321566213,1172897.0,0.0
